timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690054960667,247,GET All Activities,200,OK,StressTest 1-1,text,true,,3038,206,4,4,https://fakerestapi.azurewebsites.net/api/v1/Activities,247,0,122
1690054960914,95,POST Activity,200,OK,StressTest 1-1,text,true,,274,329,6,6,https://fakerestapi.azurewebsites.net/api/v1/Activities,95,0,0
1690054960738,308,GET All Activities,200,OK,StressTest 1-2,text,true,,3041,206,6,6,https://fakerestapi.azurewebsites.net/api/v1/Activities,308,0,183
1690054961010,101,GET Activity,200,OK,StressTest 1-1,text,true,,288,208,7,7,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,101,0,0
1690054961046,100,POST Activity,200,OK,StressTest 1-2,text,true,,274,329,8,8,https://fakerestapi.azurewebsites.net/api/v1/Activities,100,0,0
1690054961111,104,PUT Activity,200,OK,StressTest 1-1,text,true,,274,330,9,9,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,104,0,0
1690054961146,103,GET Activity,200,OK,StressTest 1-2,text,true,,287,208,9,9,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,102,0,0
1690054960805,446,GET All Activities,200,OK,StressTest 1-3,text,true,,3047,206,9,9,https://fakerestapi.azurewebsites.net/api/v1/Activities,446,0,306
1690054960872,431,GET All Activities,200,OK,StressTest 1-4,text,true,,3040,206,10,10,https://fakerestapi.azurewebsites.net/api/v1/Activities,431,0,326
1690054961215,93,DELETE Activity,200,OK,StressTest 1-1,,true,,121,230,10,10,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,93,0,0
1690054961249,94,PUT Activity,200,OK,StressTest 1-2,text,true,,274,330,11,11,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,94,0,0
1690054961251,109,POST Activity,200,OK,StressTest 1-3,text,true,,274,329,11,11,https://fakerestapi.azurewebsites.net/api/v1/Activities,109,0,0
1690054960938,427,GET All Activities,200,OK,StressTest 1-5,text,true,,3041,206,11,11,https://fakerestapi.azurewebsites.net/api/v1/Activities,427,0,311
1690054961304,99,POST Activity,200,OK,StressTest 1-4,text,true,,274,329,11,11,https://fakerestapi.azurewebsites.net/api/v1/Activities,99,0,0
1690054961308,100,GET All Activities,200,OK,StressTest 1-1,text,true,,3047,206,12,12,https://fakerestapi.azurewebsites.net/api/v1/Activities,99,0,0
1690054961005,427,GET All Activities,200,OK,StressTest 1-6,text,true,,3040,206,12,12,https://fakerestapi.azurewebsites.net/api/v1/Activities,427,0,317
1690054961343,97,DELETE Activity,200,OK,StressTest 1-2,,true,,121,230,12,12,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,97,0,0
1690054961360,101,GET Activity,200,OK,StressTest 1-3,text,true,,288,208,12,12,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,101,0,0
1690054961365,104,POST Activity,200,OK,StressTest 1-5,text,true,,274,329,12,12,https://fakerestapi.azurewebsites.net/api/v1/Activities,104,0,0
1690054961073,415,GET All Activities,200,OK,StressTest 1-7,text,true,,3040,206,13,13,https://fakerestapi.azurewebsites.net/api/v1/Activities,415,0,310
1690054961403,100,GET Activity,200,OK,StressTest 1-4,text,true,,287,208,13,13,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,100,0,0
1690054961408,98,POST Activity,200,OK,StressTest 1-1,text,true,,274,329,13,13,https://fakerestapi.azurewebsites.net/api/v1/Activities,98,0,0
1690054961432,102,POST Activity,200,OK,StressTest 1-6,text,true,,274,329,13,13,https://fakerestapi.azurewebsites.net/api/v1/Activities,102,0,0
1690054961440,102,GET All Activities,200,OK,StressTest 1-2,text,true,,3047,206,14,14,https://fakerestapi.azurewebsites.net/api/v1/Activities,102,0,0
1690054961140,404,GET All Activities,200,OK,StressTest 1-8,text,true,,3041,206,14,14,https://fakerestapi.azurewebsites.net/api/v1/Activities,404,0,299
1690054961461,106,PUT Activity,200,OK,StressTest 1-3,text,true,,274,330,14,14,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,106,0,0
1690054961469,101,GET Activity,200,OK,StressTest 1-5,text,true,,288,208,14,14,https://fakerestapi.azurewebsites.net/api/v1/Activities/5,100,0,0
1690054961489,98,POST Activity,200,OK,StressTest 1-7,text,true,,274,329,14,14,https://fakerestapi.azurewebsites.net/api/v1/Activities,98,0,0
1690054961208,397,GET All Activities,200,OK,StressTest 1-9,text,true,,3042,206,14,14,https://fakerestapi.azurewebsites.net/api/v1/Activities,397,0,281
1690054961503,107,PUT Activity,200,OK,StressTest 1-4,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,107,0,0
1690054961506,109,GET Activity,200,OK,StressTest 1-1,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,109,0,0
1690054961534,101,GET Activity,200,OK,StressTest 1-6,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,101,0,0
1690054961542,97,POST Activity,200,OK,StressTest 1-2,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,97,0,0
